instance_type,m,n,p,k,instance_id,method,strategy,lb_type,cost,time_seconds,nodes,status,error
uniform,50,100,0.1,0,8,bb,best_first,packing,9.0,0.4521560668945312,291,success,
uniform,50,100,0.1,0,8,bb,best_first,both,9.0,0.3073933124542236,81,success,
uniform,50,100,0.1,0,9,greedy,,,11.0,0.0034410953521728,1,success,
uniform,50,100,0.1,0,7,bb,best_first,sum_degree,10.0,9.36596393585205,23858,success,
uniform,50,100,0.1,0,7,bb,best_first,both,10.0,11.03515911102295,16749,success,
uniform,50,100,0.1,0,6,bb,dfs,packing,10.0,18.747535228729248,92313,success,
uniform,50,100,0.1,0,6,bb,best_first,packing,10.0,18.56918811798096,15452,success,
uniform,50,100,0.1,0,9,bb,dfs,sum_degree,10.0,4.292254209518433,13063,success,
uniform,50,100,0.05,0,17,bb,best_first,sum_degree,17.0,94.19126200675964,135394,success,
uniform,50,100,0.1,0,10,greedy,,,10.0,0.0045869350433349,1,success,
uniform,50,100,0.1,0,10,bb,dfs,sum_degree,9.0,0.3905401229858398,769,success,
uniform,50,100,0.1,0,7,bb,best_first,packing,12.0,18.9912223815918,16171,success,
uniform,50,100,0.1,0,9,bb,dfs,both,10.0,7.894322156906128,12606,success,
uniform,50,100,0.1,0,10,bb,dfs,both,9.0,0.5799765586853027,769,success,
uniform,50,100,0.1,0,10,bb,best_first,sum_degree,9.0,1.5517206192016602,629,success,
uniform,50,100,0.1,0,10,bb,dfs,packing,9.0,4.220660924911499,19527,success,
uniform,50,100,0.1,0,11,greedy,,,11.0,0.0013496875762939,1,success,
uniform,50,100,0.1,0,10,bb,best_first,both,9.0,2.5776944160461426,626,success,
uniform,50,100,0.1,0,11,bb,dfs,sum_degree,9.0,0.6478121280670166,1340,success,
uniform,50,100,0.1,0,11,bb,dfs,both,9.0,1.0623173713684082,1303,success,
uniform,50,100,0.1,0,11,bb,dfs,packing,9.0,2.8312275409698486,11086,success,
uniform,50,100,0.05,0,17,bb,best_first,both,17.0,98.73329854011536,87921,success,
uniform,50,100,0.1,0,11,bb,best_first,sum_degree,9.0,5.815142154693604,13595,success,
uniform,50,100,0.1,0,12,greedy,,,10.0,0.0023028850555419,1,success,
uniform,50,100,0.1,0,12,bb,dfs,sum_degree,9.0,0.6186428070068359,1544,success,
uniform,50,100,0.1,0,10,bb,best_first,packing,9.0,13.48469305038452,12371,success,
uniform,50,100,0.1,0,12,bb,dfs,both,9.0,1.0413236618041992,1533,success,
uniform,50,100,0.1,0,11,bb,best_first,both,9.0,7.3119566440582275,12740,success,
uniform,50,100,0.1,0,12,bb,dfs,packing,9.0,3.509160280227661,18558,success,
uniform,50,100,0.1,0,9,bb,best_first,packing,11.0,24.91262626647949,14824,success,
uniform,50,100,0.1,0,13,greedy,,,9.0,0.0023951530456542,1,success,
uniform,50,100,0.1,0,13,bb,dfs,sum_degree,9.0,0.4704065322875976,898,success,
uniform,50,100,0.1,0,13,bb,dfs,packing,9.0,2.136862277984619,7681,success,
uniform,50,100,0.1,0,13,bb,dfs,both,9.0,0.7872922420501709,845,success,
uniform,50,100,0.1,0,13,bb,best_first,sum_degree,9.0,0.4903814792633056,164,success,
uniform,50,100,0.1,0,12,bb,best_first,sum_degree,9.0,8.123415231704712,3705,success,
uniform,50,100,0.1,0,13,bb,best_first,both,9.0,0.7361798286437988,154,success,
uniform,50,100,0.1,0,14,greedy,,,10.0,0.0012776851654052,1,success,
uniform,50,100,0.1,0,11,bb,best_first,packing,9.0,16.717978715896606,57088,success,
uniform,50,100,0.1,0,13,bb,best_first,packing,9.0,2.216474294662476,1322,success,
uniform,50,100,0.1,0,14,bb,dfs,sum_degree,9.0,2.0758168697357178,4933,success,
uniform,50,100,0.1,0,14,bb,dfs,both,9.0,3.2866787910461426,4584,success,
uniform,50,100,0.1,0,12,bb,best_first,both,9.0,13.17437219619751,3467,success,
uniform,50,100,0.1,0,14,bb,dfs,packing,9.0,7.766984462738037,34418,success,
uniform,50,100,0.1,0,15,greedy,,,12.0,0.0015087127685546,1,success,
uniform,50,100,0.1,0,9,bb,best_first,sum_degree,10.0,39.81834888458252,18698,success,
uniform,50,100,0.1,0,9,bb,dfs,packing,10.0,43.18823552131653,214148,success,
uniform,50,100,0.1,0,15,bb,dfs,sum_degree,10.0,3.991675853729248,10809,success,
uniform,50,100,0.1,0,15,bb,dfs,both,10.0,6.645484924316406,10420,success,
uniform,50,100,0.1,0,14,bb,best_first,sum_degree,9.0,15.537100553512571,8112,success,
uniform,50,100,0.1,0,15,bb,best_first,sum_degree,10.0,9.152461767196655,24953,success,
uniform,50,100,0.1,0,16,greedy,,,10.0,0.0028154850006103,1,success,
uniform,50,100,0.1,0,16,bb,dfs,sum_degree,10.0,1.0694527626037598,2436,success,
uniform,50,100,0.1,0,12,bb,best_first,packing,9.0,31.74220561981201,31584,success,
uniform,50,100,0.1,0,16,bb,dfs,both,10.0,1.7078258991241455,2338,success,
uniform,50,100,0.1,0,16,bb,best_first,sum_degree,10.0,1.088491916656494,454,success,
uniform,50,100,0.1,0,16,bb,dfs,packing,10.0,5.340915203094482,24389,success,
uniform,50,100,0.1,0,14,bb,best_first,both,9.0,23.742735385894772,7663,success,
uniform,50,100,0.1,0,17,greedy,,,12.0,0.0028121471405029,1,success,
uniform,50,100,0.1,0,16,bb,best_first,both,10.0,1.7516872882843018,436,success,
uniform,50,100,0.1,0,16,bb,best_first,packing,10.0,5.420830249786377,4207,success,
uniform,50,100,0.1,0,17,bb,dfs,sum_degree,10.0,2.974400043487549,6663,success,
uniform,50,100,0.1,0,9,bb,best_first,both,10.0,62.459911584854126,17875,success,
uniform,50,100,0.1,0,15,bb,best_first,packing,12.0,17.21431589126587,11947,success,
uniform,50,100,0.1,0,15,bb,best_first,both,10.0,16.25220012664795,23833,success,
uniform,50,100,0.1,0,18,greedy,,,11.0,0.0014164447784423,1,success,
uniform,50,100,0.1,0,17,bb,dfs,both,10.0,4.563877105712891,6159,success,
uniform,50,100,0.1,0,18,bb,dfs,sum_degree,10.0,2.6057288646698,6304,success,
uniform,50,100,0.1,0,15,bb,dfs,packing,10.0,28.53583002090454,162465,success,
uniform,50,100,0.1,0,18,bb,dfs,both,10.0,3.807217359542847,5552,success,
uniform,50,100,0.1,0,14,bb,best_first,packing,9.0,41.493969202041626,47867,success,
uniform,50,100,0.1,0,17,bb,dfs,packing,10.0,16.948471307754517,85013,success,
uniform,50,100,0.1,0,19,greedy,,,9.0,0.0011732578277587,1,success,
uniform,50,100,0.1,0,19,bb,dfs,sum_degree,9.0,0.2252697944641113,374,success,
uniform,50,100,0.1,0,19,bb,dfs,packing,9.0,1.8188533782958984,5897,success,
uniform,50,100,0.1,0,17,bb,best_first,packing,12.0,16.039325714111328,11507,success,
uniform,50,100,0.1,0,19,bb,dfs,both,9.0,0.3884625434875488,374,success,
uniform,50,100,0.1,0,19,bb,best_first,sum_degree,9.0,0.2470152378082275,68,success,
uniform,50,100,0.1,0,19,bb,best_first,both,9.0,0.3599517345428467,68,success,
uniform,50,100,0.1,0,20,greedy,,,11.0,0.0034384727478027,1,success,
uniform,50,100,0.1,0,19,bb,best_first,packing,9.0,1.8493092060089111,927,success,
uniform,50,100,0.1,0,20,bb,dfs,sum_degree,10.0,2.1100082397460938,4532,success,
uniform,50,100,0.1,0,18,bb,dfs,packing,10.0,15.079619884490969,74696,success,
uniform,50,100,0.1,0,20,bb,dfs,both,10.0,3.62366795539856,4445,success,
uniform,50,100,0.1,0,17,bb,best_first,sum_degree,12.0,25.25563216209412,11971,success,
uniform,50,100,0.1,0,18,bb,best_first,sum_degree,10.0,23.51106572151184,13165,success,
uniform,50,100,0.1,0,21,greedy,,,12.0,0.0015316009521484,1,success,
uniform,50,100,0.1,0,21,bb,dfs,sum_degree,10.0,3.4176459312438965,7255,success,
uniform,50,100,0.1,0,20,bb,dfs,packing,10.0,14.618320941925049,60681,success,
uniform,50,100,0.1,0,20,bb,best_first,sum_degree,10.0,16.86276865005493,8390,success,
uniform,50,100,0.1,0,21,bb,dfs,both,10.0,3.5842459201812744,6178,success,
uniform,50,100,0.1,0,18,bb,best_first,packing,11.0,30.5327787399292,25099,success,
uniform,50,100,0.1,0,17,bb,best_first,both,12.0,38.055217027664185,12087,success,
uniform,50,100,0.1,0,22,greedy,,,12.0,0.0025997161865234,1,success,
uniform,50,100,0.1,0,21,bb,dfs,packing,10.0,7.118222713470459,36402,success,
uniform,50,100,0.1,0,22,bb,dfs,sum_degree,10.0,2.1132161617279053,5115,success,
uniform,50,100,0.1,0,22,bb,dfs,packing,10.0,4.748612642288208,18423,success,
uniform,50,100,0.1,0,22,bb,dfs,both,10.0,2.816872358322144,4014,success,
uniform,50,100,0.1,0,18,bb,best_first,both,10.0,33.91441035270691,11713,success,
uniform,50,100,0.1,0,20,bb,best_first,both,10.0,25.916723251342773,8019,success,
uniform,50,100,0.1,0,23,greedy,,,10.0,0.0072250366210937,1,success,
uniform,50,100,0.1,0,23,bb,dfs,sum_degree,9.0,0.7116494178771973,1388,success,
uniform,50,100,0.1,0,22,bb,best_first,sum_degree,10.0,9.744091987609863,20294,success,
uniform,50,100,0.1,0,23,bb,dfs,both,9.0,1.1285004615783691,1347,success,
uniform,50,100,0.1,0,21,bb,best_first,sum_degree,10.0,18.73801016807556,41457,success,
uniform,50,100,0.1,0,23,bb,dfs,packing,9.0,3.9383704662323,13367,success,
uniform,50,100,0.1,0,21,bb,best_first,packing,12.0,19.95788049697876,14213,success,
uniform,50,100,0.1,0,24,greedy,,,11.0,0.003425121307373,1,success,
uniform,50,100,0.1,0,23,bb,best_first,sum_degree,9.0,4.893805503845215,2145,success,
uniform,50,100,0.1,0,22,bb,best_first,both,10.0,12.34451174736023,15967,success,
uniform,50,100,0.1,0,24,bb,dfs,sum_degree,9.0,3.948478937149048,8567,success,
uniform,50,100,0.1,0,23,bb,best_first,both,9.0,6.851129531860352,2067,success,
uniform,50,100,0.1,0,22,bb,best_first,packing,10.0,19.009621143341064,49465,success,
uniform,50,100,0.1,0,21,bb,best_first,both,10.0,24.17729640007019,34228,success,
uniform,50,100,0.1,0,25,greedy,,,9.0,0.0007436275482177,1,success,
uniform,50,100,0.1,0,25,bb,dfs,sum_degree,9.0,0.2479045391082763,784,success,
uniform,50,100,0.1,0,24,bb,dfs,both,9.0,4.19585919380188,7950,success,
uniform,50,100,0.1,0,25,bb,dfs,both,9.0,0.6778213977813721,774,success,
uniform,50,100,0.1,0,25,bb,best_first,sum_degree,9.0,0.4115450382232666,135,success,
uniform,50,100,0.1,0,25,bb,dfs,packing,9.0,2.7452781200408936,9926,success,
uniform,50,100,0.1,0,25,bb,best_first,both,9.0,0.7123069763183594,133,success,
uniform,50,100,0.1,0,26,greedy,,,9.0,0.0024209022521972,1,success,
uniform,50,100,0.1,0,24,bb,best_first,sum_degree,9.0,6.3023645877838135,14725,success,
uniform,50,100,0.1,0,26,bb,dfs,sum_degree,9.0,1.141707420349121,2567,success,
uniform,50,100,0.1,0,25,bb,best_first,packing,9.0,2.733788013458252,1585,success,
uniform,50,100,0.1,0,26,bb,best_first,sum_degree,9.0,1.1248247623443604,469,success,
uniform,50,100,0.1,0,26,bb,dfs,both,9.0,1.8404653072357176,2436,success,
uniform,50,100,0.1,0,26,bb,dfs,packing,9.0,3.539229154586792,15185,success,
uniform,50,100,0.1,0,27,greedy,,,10.0,0.0013380050659179,1,success,
uniform,50,100,0.1,0,27,bb,dfs,sum_degree,9.0,1.0699281692504885,1807,success,
uniform,50,100,0.1,0,26,bb,best_first,both,9.0,1.970566749572754,443,success,
uniform,50,100,0.1,0,26,bb,best_first,packing,9.0,3.443953514099121,2499,success,
uniform,50,100,0.1,0,27,bb,dfs,both,9.0,1.821927785873413,1780,success,
uniform,50,100,0.1,0,24,bb,best_first,both,9.0,11.916266679763794,13351,success,
uniform,50,100,0.1,0,23,bb,best_first,packing,9.0,21.49788808822632,21158,success,
uniform,50,100,0.1,0,28,greedy,,,9.0,0.0036261081695556,1,success,
uniform,50,100,0.1,0,28,bb,dfs,sum_degree,9.0,0.8727457523345947,1884,success,
uniform,50,100,0.1,0,27,bb,dfs,packing,9.0,8.076587915420532,29405,success,
uniform,50,100,0.1,0,28,bb,dfs,packing,9.0,3.203187704086304,12211,success,
uniform,50,100,0.1,0,24,bb,dfs,packing,9.0,20.91887903213501,92659,success,
uniform,50,100,0.1,0,28,bb,dfs,both,9.0,1.356903076171875,1690,success,
uniform,50,100,0.1,0,27,bb,best_first,sum_degree,9.0,8.291941165924072,3018,success,
uniform,50,100,0.1,0,29,greedy,,,10.0,0.0048358440399169,1,success,
uniform,50,100,0.1,0,28,bb,best_first,sum_degree,9.0,0.957090139389038,326,success,
uniform,50,100,0.1,0,28,bb,best_first,both,9.0,1.2954769134521484,292,success,
uniform,50,100,0.1,0,29,bb,dfs,sum_degree,9.0,1.528714895248413,3794,success,
uniform,50,100,0.1,0,28,bb,best_first,packing,9.0,2.983123302459717,1977,success,
uniform,50,100,0.1,0,29,bb,dfs,both,9.0,2.293287754058838,3419,success,
uniform,50,100,0.1,0,24,bb,best_first,packing,11.0,23.69179463386536,12780,success,
uniform,50,100,0.2,0,0,greedy,,,6.0,0.0031180381774902,1,success,
uniform,50,100,0.1,0,29,bb,best_first,sum_degree,9.0,3.723738670349121,1660,success,
uniform,50,100,0.1,0,20,bb,best_first,packing,10.0,63.79528260231018,75255,success,
uniform,50,100,0.2,0,0,bb,dfs,sum_degree,6.0,1.1176364421844482,1451,success,
uniform,50,100,0.1,0,29,bb,dfs,packing,9.0,6.595618724822998,29389,success,
uniform,50,100,0.1,0,27,bb,best_first,both,9.0,13.326724529266356,2864,success,
uniform,50,100,0.2,0,0,bb,dfs,both,6.0,1.7212738990783691,1451,success,
uniform,50,100,0.2,0,1,greedy,,,6.0,0.0031733512878417,1,success,
uniform,50,100,0.2,0,0,bb,best_first,sum_degree,6.0,1.143902063369751,139,success,
uniform,50,100,0.2,0,0,bb,best_first,both,6.0,1.5704450607299805,139,success,
uniform,50,100,0.1,0,29,bb,best_first,both,9.0,5.383169412612915,1475,success,
uniform,50,100,0.2,0,1,bb,dfs,sum_degree,6.0,1.606987476348877,2297,success,
uniform,50,100,0.2,0,1,bb,best_first,sum_degree,6.0,1.1008915901184082,186,success,
uniform,50,100,0.1,0,29,bb,best_first,packing,9.0,7.572450876235962,9714,success,
uniform,50,100,0.2,0,2,greedy,,,6.0,0.000680923461914,1,success,
uniform,50,100,0.2,0,1,bb,dfs,both,6.0,1.7104861736297607,2297,success,
uniform,50,100,0.2,0,2,bb,dfs,sum_degree,6.0,0.9628326892852784,1846,success,
uniform,50,100,0.2,0,1,bb,best_first,both,6.0,2.4547510147094727,186,success,
uniform,50,100,0.2,0,2,bb,dfs,both,6.0,2.002673387527466,1846,success,
uniform,50,100,0.2,0,2,bb,best_first,sum_degree,6.0,1.3049538135528564,166,success,
uniform,50,100,0.2,0,2,bb,best_first,both,6.0,2.033041715621948,166,success,
uniform,50,100,0.2,0,3,greedy,,,7.0,0.0032072067260742,1,success,
uniform,50,100,0.2,0,0,bb,dfs,packing,6.0,11.217200994491575,50237,success,
uniform,50,100,0.2,0,3,bb,dfs,sum_degree,6.0,1.1310815811157229,1824,success,
uniform,50,100,0.2,0,3,bb,dfs,both,6.0,1.753793478012085,1824,success,
uniform,50,100,0.2,0,0,bb,best_first,packing,6.0,11.837231636047363,4410,success,
uniform,50,100,0.2,0,3,bb,best_first,sum_degree,6.0,10.504693508148192,1732,success,
uniform,50,100,0.2,0,2,bb,dfs,packing,6.0,19.447033405303955,89067,success,
uniform,50,100,0.2,0,4,greedy,,,7.0,0.0007121562957763,1,success,
uniform,50,100,0.2,0,4,bb,dfs,sum_degree,6.0,1.5843369960784912,3123,success,
uniform,50,100,0.2,0,2,bb,best_first,packing,6.0,19.20056939125061,7590,success,
uniform,50,100,0.2,0,3,bb,dfs,packing,6.0,18.57472848892212,88318,success,
uniform,50,100,0.2,0,1,bb,dfs,packing,6.0,28.290387630462646,119638,success,
uniform,50,100,0.2,0,4,bb,dfs,both,6.0,3.4479544162750244,3111,success,
uniform,50,100,0.2,0,1,bb,best_first,packing,6.0,28.06951236724853,9745,success,
uniform,50,100,0.2,0,5,greedy,,,6.0,0.0031158924102783,1,success,
uniform,50,100,0.2,0,5,bb,dfs,sum_degree,6.0,0.9255967140197754,1301,success,
uniform,50,100,0.2,0,3,bb,best_first,both,6.0,15.853096961975098,1729,success,
uniform,50,100,0.2,0,5,bb,dfs,both,6.0,1.4328882694244385,1301,success,
uniform,50,100,0.2,0,5,bb,best_first,sum_degree,6.0,0.9194729328155518,111,success,
uniform,50,100,0.1,0,27,bb,best_first,packing,9.0,57.04607892036438,42853,success,
uniform,50,100,0.2,0,5,bb,best_first,both,6.0,1.4301934242248535,111,success,
uniform,50,100,0.2,0,6,greedy,,,6.0,0.0011169910430908,1,success,
uniform,50,100,0.2,0,6,bb,dfs,sum_degree,6.0,1.573312759399414,2301,success,
uniform,50,100,0.2,0,5,bb,dfs,packing,6.0,15.96615195274353,65653,success,
uniform,50,100,0.2,0,6,bb,dfs,both,6.0,1.8165950775146484,2301,success,
uniform,50,100,0.2,0,4,bb,best_first,packing,7.0,20.09137463569641,5924,success,
uniform,50,100,0.2,0,6,bb,best_first,sum_degree,6.0,0.948982000350952,177,success,
uniform,50,100,0.2,0,6,bb,best_first,both,6.0,2.3149642944335938,177,success,
uniform,50,100,0.2,0,7,greedy,,,6.0,0.0011098384857177,1,success,
uniform,50,100,0.2,0,7,bb,dfs,sum_degree,6.0,0.5040552616119385,628,success,
uniform,50,100,0.2,0,5,bb,best_first,packing,6.0,14.180381059646606,5760,success,
uniform,50,100,0.2,0,7,bb,dfs,both,6.0,0.7641263008117676,628,success,
uniform,50,100,0.2,0,7,bb,best_first,sum_degree,6.0,0.4893062114715576,65,success,
uniform,50,100,0.2,0,4,bb,dfs,packing,6.0,34.133761405944824,150571,success,
uniform,50,100,0.2,0,7,bb,best_first,both,6.0,0.8043067455291748,65,success,
uniform,50,100,0.2,0,8,greedy,,,8.0,0.0033001899719238,1,success,
uniform,50,100,0.2,0,8,bb,dfs,sum_degree,6.0,0.6716611385345459,898,success,
uniform,50,100,0.2,0,7,bb,dfs,packing,6.0,8.29386281967163,33909,success,
uniform,50,100,0.2,0,4,bb,best_first,sum_degree,6.0,33.15931677818298,7775,success,
uniform,50,100,0.2,0,8,bb,dfs,both,6.0,1.026197910308838,898,success,
uniform,50,100,0.2,0,7,bb,best_first,packing,6.0,8.139762878417969,3092,success,
uniform,50,100,0.2,0,6,bb,dfs,packing,6.0,22.977664709091187,105909,success,
uniform,50,100,0.2,0,9,greedy,,,6.0,0.0006980895996093,1,success,
uniform,50,100,0.2,0,9,bb,dfs,sum_degree,6.0,1.0982167720794678,2533,success,
uniform,50,100,0.2,0,8,bb,best_first,sum_degree,6.0,8.699708223342896,17076,success,
uniform,50,100,0.2,0,6,bb,best_first,packing,6.0,22.45071768760681,8679,success,
uniform,50,100,0.2,0,9,bb,dfs,both,6.0,2.554680347442627,2533,success,
uniform,50,100,0.2,0,9,bb,best_first,sum_degree,6.0,1.953078031539917,184,success,
uniform,50,100,0.2,0,8,bb,dfs,packing,6.0,15.251335859298706,61003,success,
uniform,50,100,0.2,0,10,greedy,,,7.0,0.0012412071228027,1,success,
uniform,50,100,0.2,0,10,bb,dfs,sum_degree,6.0,0.64750075340271,838,success,
uniform,50,100,0.2,0,9,bb,best_first,both,6.0,2.948472499847412,184,success,
uniform,50,100,0.2,0,10,bb,dfs,both,6.0,0.9998245239257812,838,success,
uniform,50,100,0.2,0,8,bb,best_first,packing,8.0,15.865076065063477,4752,success,
uniform,50,100,0.2,0,8,bb,best_first,both,6.0,14.174291372299194,17063,success,
uniform,50,100,0.2,0,4,bb,best_first,both,6.0,51.74149489402771,7727,success,
uniform,50,100,0.2,0,11,greedy,,,6.0,0.0010910034179687,1,success,
uniform,50,100,0.2,0,11,bb,dfs,sum_degree,5.0,0.2158510684967041,242,success,
uniform,50,100,0.2,0,11,bb,dfs,packing,5.0,3.450522422790528,10942,success,
uniform,50,100,0.2,0,11,bb,dfs,both,5.0,0.3010566234588623,242,success,
uniform,50,100,0.2,0,11,bb,best_first,sum_degree,5.0,1.2838494777679443,148,success,
uniform,50,100,0.2,0,10,bb,best_first,sum_degree,6.0,9.67566418647766,1650,success,
uniform,50,100,0.2,0,11,bb,best_first,both,5.0,2.190553903579712,148,success,
uniform,50,100,0.2,0,12,greedy,,,6.0,0.001143455505371,1,success,
uniform,50,100,0.2,0,10,bb,dfs,packing,6.0,14.530849695205688,55955,success,
uniform,50,100,0.2,0,12,bb,dfs,sum_degree,6.0,2.1829943656921387,2726,success,
uniform,50,100,0.2,0,10,bb,best_first,both,6.0,15.143191814422607,1650,success,
uniform,50,100,0.2,0,12,bb,dfs,both,6.0,3.37113356590271,2726,success,
uniform,50,100,0.2,0,12,bb,best_first,sum_degree,6.0,2.1172759532928467,214,success,
uniform,50,100,0.2,0,12,bb,best_first,both,6.0,3.324458360671997,214,success,
uniform,50,100,0.2,0,13,greedy,,,6.0,0.0030019283294677,1,success,
uniform,50,100,0.2,0,13,bb,dfs,sum_degree,5.0,1.1145126819610596,1579,success,
uniform,50,100,0.2,0,13,bb,dfs,packing,5.0,16.934985637664795,67289,success,
uniform,50,100,0.2,0,9,bb,dfs,packing,6.0,47.98476624488831,205996,success,
uniform,50,100,0.2,0,13,bb,dfs,both,5.0,0.9496796131134032,1579,success,
uniform,50,100,0.2,0,13,bb,best_first,sum_degree,5.0,1.030729055404663,211,success,
uniform,50,100,0.2,0,9,bb,best_first,packing,6.0,46.613579511642456,16321,success,
uniform,50,100,0.2,0,14,greedy,,,6.0,0.0011215209960937,1,success,
uniform,50,100,0.2,0,11,bb,best_first,packing,5.0,34.266093254089355,12276,success,
uniform,50,100,0.2,0,14,bb,dfs,sum_degree,6.0,1.2769443988800049,1699,success,
uniform,50,100,0.2,0,13,bb,best_first,both,5.0,2.695965051651001,211,success,
uniform,50,100,0.2,0,14,bb,dfs,both,6.0,1.988323450088501,1699,success,
uniform,50,100,0.2,0,14,bb,best_first,sum_degree,6.0,1.3389596939086914,146,success,
uniform,50,100,0.2,0,12,bb,dfs,packing,6.0,32.677706241607666,136626,success,
uniform,50,100,0.2,0,15,greedy,,,7.0,0.0032167434692382,1,success,
uniform,50,100,0.2,0,15,bb,dfs,sum_degree,6.0,0.978891372680664,1280,success,
uniform,50,100,0.2,0,14,bb,best_first,both,6.0,2.070462465286255,146,success,
uniform,50,100,0.2,0,12,bb,best_first,packing,6.0,30.64854407310486,11535,success,
uniform,50,100,0.2,0,15,bb,dfs,both,6.0,1.54974627494812,1280,success,
uniform,50,100,0.2,0,14,bb,dfs,packing,6.0,18.087485551834103,73240,success,
uniform,50,100,0.2,0,15,bb,best_first,sum_degree,6.0,13.28125548362732,2544,success,
uniform,50,100,0.2,0,16,greedy,,,7.0,0.0012183189392089,1,success,
uniform,50,100,0.2,0,16,bb,dfs,sum_degree,6.0,0.8401501178741455,1163,success,
uniform,50,100,0.2,0,14,bb,best_first,packing,6.0,17.77766180038452,6119,success,
uniform,50,100,0.2,0,3,bb,best_first,packing,6.0,129.50358152389526,68457,success,
uniform,50,100,0.2,0,16,bb,dfs,both,6.0,1.325767993927002,1163,success,
uniform,50,100,0.2,0,13,bb,best_first,packing,5.0,24.095958948135376,8579,success,
uniform,50,100,0.2,0,15,bb,dfs,packing,6.0,19.75507616996765,79370,success,
uniform,50,100,0.2,0,17,greedy,,,6.0,0.0030150413513183,1,success,
